"Source word","First candidate","ACC","ACC-10","F-score","Best matching reference","MRR","MAP_ref","References"
__NE__ B A C H N E,ब च ् न े,1.000000,1.000000,1.000000,ब च ् न े,1.000000,1.000000,"ब च ् न े"
__NE__ S A R D A I N,स र ् द ै न,1.000000,1.000000,1.000000,स र ् द ै न,1.000000,1.000000,"स र ् द ै न"
__NE__ U P A U K Y A,उ प उ क ् य,1.000000,1.000000,1.000000,उ प उ क ् य,1.000000,1.000000,"उ प उ क ् य"
__NE__ J A N U,ज ा न ु,1.000000,1.000000,1.000000,ज ा न ु,1.000000,1.000000,"ज ा न ु"
__NE__ K E H O,क े ह ो,1.000000,1.000000,1.000000,क े ह ो,1.000000,1.000000,"क े ह ो"
__NE__ G R A B H P A T A N,ग र ् भ प त न,1.000000,1.000000,1.000000,ग र ् भ प त न,1.000000,1.000000,"ग र ् भ प त न"
__NE__ L A G E X,ल ा ग े छ,1.000000,1.000000,1.000000,ल ा ग े छ,1.000000,1.000000,"ल ा ग े छ"
__NE__ A P N A Y D A,अ प न ा ए द ा,0.000000,0.000000,0.923077,अ प न ा उ द ा,0.000000,0.000000,"अ प न ा उ द ा"
__NE__ P O S T N A T A L,प ो स ् ट न े ट ल,1.000000,1.000000,1.000000,प ो स ् ट न े ट ल,1.000000,1.000000,"प ो स ् ट न े ट ल"
__NE__ G A R B A B A T I,ग र ् भ व त ी,1.000000,1.000000,1.000000,ग र ् भ व त ी,1.000000,1.000000,"ग र ् भ व त ी"
__NE__ D U K H C H A,द ु ख ् छ,1.000000,1.000000,1.000000,द ु ख ् छ,1.000000,1.000000,"द ु ख ् छ"
__NE__ V A N X A N N,भ न ् छ न ् न,0.000000,1.000000,0.916667,भ न ् छ न ्,0.500000,0.000000,"भ न ् छ न ्"
__NE__ S A M M M,स म ् म,1.000000,1.000000,1.000000,स म ् म,1.000000,1.000000,"स म ् म"
__NE__ S A M B H A D H A,स म ् ब द ् ध,0.000000,1.000000,0.750000,स म ् भ द ा,0.500000,0.000000,"स म ् भ द ा"
__NE__ K U N A D A,क ु न ् द ा,1.000000,1.000000,1.000000,क ु न ् द ा,1.000000,1.000000,"क ु न ् द ा"
__NE__ P R A S A N N,प ् र श ् न,0.000000,0.000000,0.833333,प ् र स न ् न,0.000000,0.000000,"प ् र स न ् न"
__NE__ D H U K N U,ढ ु क ् न ु,1.000000,1.000000,1.000000,ढ ु क ् न ु,1.000000,1.000000,"ढ ु क ् न ु"
__NE__ B A R A M B A R,ब र म ् ब र,0.000000,1.000000,0.916667,ब ा र म ् ब र,0.333333,0.000000,"ब ा र म ् ब र"
__NE__ K A T T I,क त ् त ी,0.000000,1.000000,0.888889,क त ् त ि,0.500000,0.000000,"क त ् त ि"
__NE__ C H A K K U,च क ् क ु,1.000000,1.000000,1.000000,च क ् क ु,1.000000,1.000000,"च क ् क ु"
__NE__ E E T I,इ त ि,0.000000,0.000000,0.800000,य त ि,0.000000,0.000000,"य त ि"
__NE__ B A S N,ब स ् न,1.000000,1.000000,1.000000,ब स ् न,1.000000,1.000000,"ब स ् न"
__NE__ S A T O,स ा त ो,0.000000,1.000000,0.857143,स ा ट ो,0.500000,0.000000,"स ा ट ो"
__NE__ P A R K A R,प र क ा र,0.000000,0.000000,0.900000,प र ् क ा र,0.000000,0.000000,"प र ् क ा र"
__NE__ K A T H E,क थ े,1.000000,1.000000,1.000000,क थ े,1.000000,1.000000,"क थ े"
__NE__ S A M A S S Y A,स म स ् य ा,1.000000,1.000000,1.000000,स म स ् य ा,1.000000,1.000000,"स म स ् य ा"
__NE__ E K D A M A I,ए क द म ै,1.000000,1.000000,1.000000,ए क द म ै,1.000000,1.000000,"ए क द म ै"
__NE__ S A N K E T,स ं क े त,1.000000,1.000000,1.000000,स ं क े त,1.000000,1.000000,"स ं क े त"
__NE__ S A L L A H A,स ल ् ल ा ह,1.000000,1.000000,1.000000,स ल ् ल ा ह,1.000000,1.000000,"स ल ् ल ा ह"
__NE__ I U C D,आ ई य ु स ी ड ी,0.000000,1.000000,0.933333,आ ई य ू स ी ड ी,0.333333,0.000000,"आ ई य ू स ी ड ी"
__NE__ B H A N K O,भ न क ो,1.000000,1.000000,1.000000,भ न क ो,1.000000,1.000000,"भ न क ो"
__NE__ V H A Y K O,भ ए क ो,1.000000,1.000000,1.000000,भ ए क ो,1.000000,1.000000,"भ ए क ो"
__NE__ T H U L O,ठ ू ल ो,1.000000,1.000000,1.000000,ठ ू ल ो,1.000000,1.000000,"ठ ू ल ो"
__NE__ K U R A H A R U,क ु र ा ह र ू,1.000000,1.000000,1.000000,क ु र ा ह र ू,1.000000,1.000000,"क ु र ा ह र ू"
__NE__ K A H E L A,क ह ि ल ा,1.000000,1.000000,1.000000,क ह ि ल ा,1.000000,1.000000,"क ह ि ल ा"
__NE__ A S U R A X I T A,अ स ु र च ि त,0.000000,0.000000,0.800000,अ स ु र क ् ष ि त,0.000000,0.000000,"अ स ु र क ् ष ि त"
__NE__ G A R B A T I,ग र ् भ व त ी,0.000000,1.000000,0.916667,ग र ् व त ी,0.250000,0.000000,"ग र ् व त ी"
__NE__ J O K H I M,ज ो ख ि म,1.000000,1.000000,1.000000,ज ो ख ि म,1.000000,1.000000,"ज ो ख ि म"
__NE__ G A R N U U,ग र ् न ु,1.000000,1.000000,1.000000,ग र ् न ु,1.000000,1.000000,"ग र ् न ु"
__NE__ D H I L A,ढ ि ल ा,1.000000,1.000000,1.000000,ढ ि ल ा,1.000000,1.000000,"ढ ि ल ा"
__NE__ P E T D U K H X A,प े ट द ु ख ् छ,1.000000,1.000000,1.000000,प े ट द ु ख ् छ,1.000000,1.000000,"प े ट द ु ख ् छ"
__NE__ B U H A R I K O,ब ु ह ा र ी क ो,1.000000,1.000000,1.000000,ब ु ह ा र ी क ो,1.000000,1.000000,"ब ु ह ा र ी क ो"
__NE__ A P N A U N U,अ प न ा उ न ु,1.000000,1.000000,1.000000,अ प न ा उ न ु,1.000000,1.000000,"अ प न ा उ न ु"
__NE__ K H U T T A,ख ु ट ् ट ा,1.000000,1.000000,1.000000,ख ु ट ् ट ा,1.000000,1.000000,"ख ु ट ् ट ा"
__NE__ P A L A U N U K O,प ल ा उ न ु क ो,1.000000,1.000000,1.000000,प ल ा उ न ु क ो,1.000000,1.000000,"प ल ा उ न ु क ो"
__NE__ J A N A K R I,ज न क ् र ी,0.000000,0.000000,0.833333,ज ा न क ा र ी,0.000000,0.000000,"ज ा न क ा र ी"
__NE__ K A H I L A I,क ह ि ल ा ई,0.000000,1.000000,0.800000,क ह ि ल ै,0.500000,0.000000,"क ह ि ल ै"
__NE__ K I S H O R,क ि श ो र,1.000000,1.000000,1.000000,क ि श ो र,1.000000,1.000000,"क ि श ो र"
__NE__ S A M B H A V N A,स म ् भ ा व न ा,1.000000,1.000000,1.000000,स म ् भ ा व न ा,1.000000,1.000000,"स म ् भ ा व न ा"
__NE__ A N I I,अ न ि,1.000000,1.000000,1.000000,अ न ि,1.000000,1.000000,"अ न ि"
__NE__ H U D A I B A,ह ु द ै ब,0.000000,0.000000,0.888889,ह ु द ै न,0.000000,0.000000,"ह ु द ै न"
__NE__ S A K I Y A L A,स क ि य ा ल ा,0.000000,1.000000,0.833333,स क ि ए ल ा,0.500000,0.000000,"स क ि ए ल ा"
__NE__ S H I K S H Y A,श ि क ् ष ा,1.000000,1.000000,1.000000,श ि क ् ष ा,1.000000,1.000000,"श ि क ् ष ा"
__NE__ A A F N A U N E,आ फ ् न ा उ न े,1.000000,1.000000,1.000000,आ फ ् न ा उ न े,1.000000,1.000000,"आ फ ् न ा उ न े"
__NE__ O U M E R,आ उ म र,0.000000,0.000000,0.714286,उ म े र,0.000000,0.000000,"उ म े र"
__NE__ L A G A Y E K O,ल ग ा ए क ो,1.000000,1.000000,1.000000,ल ग ा ए क ो,1.000000,1.000000,"ल ग ा ए क ो"
